Provinsi,Kode_Kab,Kabupaten_Kota,Bulan,Luas_Panen
SUMATERA SELATAN,1603.0,MUARA ENIM,Januari,0.0
SUMATERA SELATAN,1604.0,LAHAT,Januari,788.3600000000001
SUMATERA SELATAN,1605.0,MUSI RAWAS,Januari,3787.19
SUMATERA SELATAN,1606.0,MUSI BANYUASIN,Januari,0.0
SUMATERA SELATAN,1607.0,BANYU ASIN,Januari,156.23
SUMATERA SELATAN,1608.0,OGAN KOMERING ULU SELATAN,Januari,396.87
SUMATERA SELATAN,1609.0,OGAN KOMERING ULU TIMUR,Januari,771.29
SUMATERA SELATAN,1610.0,OGAN ILIR,Januari,0.0
SUMATERA SELATAN,1611.0,EMPAT LAWANG,Januari,198.05
SUMATERA SELATAN,1612.0,PENUKAL ABAB LEMATANG ILIR,Januari,657.88
SUMATERA SELATAN,1613.0,MUSI RAWAS UTARA,Januari,165.06
SUMATERA SELATAN,1671.0,PALEMBANG,Januari,0.0
SUMATERA SELATAN,1672.0,PRABUMULIH,Januari,0.0
SUMATERA SELATAN,1673.0,PAGAR ALAM,Januari,320.19
SUMATERA SELATAN,1674.0,LUBUKLINGGAU,Januari,258.15
BENGKULU,1701.0,BENGKULU SELATAN,Januari,0.0
BENGKULU,1702.0,REJANG LEBONG,Januari,262.09
BENGKULU,1703.0,BENGKULU UTARA,Januari,317.92
BENGKULU,1704.0,KAUR,Januari,677.5600000000001
BENGKULU,1705.0,SELUMA,Januari,283.27
BENGKULU,1706.0,MUKOMUKO,Januari,12.81
BENGKULU,1707.0,LEBONG,Januari,298.43
BENGKULU,1708.0,KEPAHIANG,Januari,470.36
BENGKULU,1709.0,BENGKULU TENGAH,Januari,13.7
BENGKULU,1771.0,BENGKULU,Januari,0.0
LAMPUNG,1801.0,LAMPUNG BARAT,Januari,372.99
LAMPUNG,1802.0,TANGGAMUS,Januari,1207.22
LAMPUNG,1803.0,LAMPUNG SELATAN,Januari,147.8
LAMPUNG,1804.0,LAMPUNG TIMUR,Januari,705.19
LAMPUNG,1805.0,LAMPUNG TENGAH,Januari,537.5400000000001
LAMPUNG,1806.0,LAMPUNG UTARA,Januari,28.33
LAMPUNG,1807.0,WAY KANAN,Januari,0.0
LAMPUNG,1808.0,TULANGBAWANG,Januari,0.0
LAMPUNG,1809.0,PESAWARAN,Januari,336.73
LAMPUNG,1810.0,PRINGSEWU,Januari,0.0
LAMPUNG,1811.0,MESUJI,Januari,0.0
LAMPUNG,1812.0,TULANG BAWANG BARAT,Januari,0.0
LAMPUNG,1813.0,PESISIR BARAT,Januari,11.5
LAMPUNG,1871.0,BANDAR LAMPUNG,Januari,0.0
LAMPUNG,1872.0,METRO,Januari,0.0
KEPULAUAN BANGKA BELITUNG,1901.0,BANGKA,Januari,459.35
KEPULAUAN BANGKA BELITUNG,1902.0,BELITUNG,Januari,0.0
KEPULAUAN BANGKA BELITUNG,1903.0,BANGKA BARAT,Januari,549.62
KEPULAUAN BANGKA BELITUNG,1904.0,BANGKA TENGAH,Januari,0.0
KEPULAUAN BANGKA BELITUNG,1905.0,BANGKA SELATAN,Januari,0.0
KEPULAUAN BANGKA BELITUNG,1906.0,BELITUNG TIMUR,Januari,0.0
KEPULAUAN BANGKA BELITUNG,1971.0,PANGKALPINANG,Januari,0.0
KEPULAUAN RIAU,2101.0,KARIMUN,Januari,0.0
KEPULAUAN RIAU,2102.0,BINTAN,Januari,1.79
KEPULAUAN RIAU,2103.0,NATUNA,Januari,9.17
KEPULAUAN RIAU,2104.0,LINGGA,Januari,0.0
KEPULAUAN RIAU,2105.0,KEPULAUAN ANAMBAS,Januari,0.0
KEPULAUAN RIAU,2171.0,B A T A M,Januari,0.0
KEPULAUAN RIAU,2172.0,TANJUNG PINANG,Januari,0.0
DKI JAKARTA,3101.0,KEPULAUAN SERIBU,Januari,0.0
DKI JAKARTA,3171.0,JAKARTA SELATAN,Januari,0.0
DKI JAKARTA,3172.0,JAKARTA TIMUR,Januari,0.0
DKI JAKARTA,3173.0,JAKARTA PUSAT,Januari,0.0
DKI JAKARTA,3174.0,JAKARTA BARAT,Januari,0.0
DKI JAKARTA,3175.0,JAKARTA UTARA,Januari,92.24
JAWA BARAT,3201.0,BOGOR,Januari,1664.37
JAWA BARAT,3202.0,SUKABUMI,Januari,1427.33
JAWA BARAT,3203.0,CIANJUR,Januari,2979.22
JAWA BARAT,3204.0,BANDUNG,Januari,1951.3700000000001
JAWA BARAT,3205.0,GARUT,Januari,3985.9000000000005
JAWA BARAT,3206.0,TASIKMALAYA,Januari,3092.02
JAWA BARAT,3207.0,CIAMIS,Januari,441.2999999999999
JAWA BARAT,3208.0,KUNINGAN,Januari,1290.97
JAWA BARAT,3209.0,CIREBON,Januari,576.93
JAWA BARAT,3210.0,MAJALENGKA,Januari,954.3
JAWA BARAT,3211.0,SUMEDANG,Januari,1717.29
JAWA BARAT,3212.0,INDRAMAYU,Januari,366.47
JAWA BARAT,3213.0,SUBANG,Januari,1040.78
JAWA BARAT,3214.0,PURWAKARTA,Januari,420.8
JAWA BARAT,3215.0,KARAWANG,Januari,16780.7
JAWA BARAT,3216.0,BEKASI,Januari,2485.6400000000003
JAWA BARAT,3217.0,BANDUNG BARAT,Januari,1055.6099999999997
JAWA BARAT,3218.0,PANGANDARAN,Januari,157.39
JAWA BARAT,3271.0,BOGOR,Januari,1.29
JAWA BARAT,3272.0,SUKABUMI,Januari,38.370000000000005
JAWA BARAT,3273.0,BANDUNG,Januari,1.72
JAWA BARAT,3274.0,CIREBON,Januari,10.9
JAWA BARAT,3275.0,BEKASI,Januari,0.0
JAWA BARAT,3276.0,DEPOK,Januari,0.0
JAWA BARAT,3277.0,CIMAHI,Januari,5.67
JAWA BARAT,3278.0,TASIKMALAYA,Januari,0.0
JAWA BARAT,3279.0,BANJAR,Januari,46.84
JAWA TENGAH,3301.0,CILACAP,Januari,1037.73
JAWA TENGAH,3302.0,BANYUMAS,Januari,412.72
JAWA TENGAH,3303.0,PURBALINGGA,Januari,1010.72
JAWA TENGAH,3304.0,BANJARNEGARA,Januari,470.77
JAWA TENGAH,3305.0,KEBUMEN,Januari,0.0
JAWA TENGAH,3306.0,PURWOREJO,Januari,239.05
JAWA TENGAH,3307.0,WONOSOBO,Januari,580.4900000000001
JAWA TENGAH,3308.0,MAGELANG,Januari,1220.19
JAWA TENGAH,3309.0,BOYOLALI,Januari,1206.09
JAWA TENGAH,3310.0,KLATEN,Januari,2652.2499999999995
JAWA TENGAH,3311.0,SUKOHARJO,Januari,634.4699999999999
JAWA TENGAH,3312.0,WONOGIRI,Januari,290.45
JAWA TENGAH,3313.0,KARANGANYAR,Januari,848.8600000000001
JAWA TENGAH,3314.0,SRAGEN,Januari,189.86
JAWA TENGAH,3315.0,GROBOGAN,Januari,1688.89
JAWA TENGAH,3316.0,BLORA,Januari,0.0
JAWA TENGAH,3317.0,REMBANG,Januari,0.0
JAWA TENGAH,3318.0,PATI,Januari,2066.78
JAWA TENGAH,3319.0,KUDUS,Januari,1574.8200000000002
JAWA TENGAH,3320.0,JEPARA,Januari,640.5699999999999
JAWA TENGAH,3321.0,DEMAK,Januari,2427.51
JAWA TENGAH,3322.0,SEMARANG,Januari,901.6
JAWA TENGAH,3323.0,TEMANGGUNG,Januari,382.43
JAWA TENGAH,3324.0,KENDAL,Januari,376.64
